recordtype,date,sortorder,region,entity,status,category,stage,source,target,value,value2,latitude,longitude
Hub,2026-07-08,1,North America,HUB-001 · Houston Nexus,Online,Mega Hub,Operational,,,142,28,29.7604,-95.3698
Hub,2026-07-14,2,North America,HUB-002 · Los Angeles Pacific,Watch,Gateway,Operational,,,131,63,34.0522,-118.2437
Hub,2026-06-29,3,North America,HUB-003 · Seattle Cascade,Online,Regional,Operational,,,88,34,47.6062,-122.3321
Hub,2026-07-20,4,North America,HUB-004 · New York Atlantic,Critical,Mega Hub,Operational,,,138,84,40.7128,-74.006
Hub,2026-07-03,5,North America,HUB-005 · Toronto Northstar,Online,Regional,Operational,,,91,39,43.6532,-79.3832
Hub,2026-07-18,6,Latin America,HUB-006 · Mexico City Axis,Watch,Gateway,Operational,,,83,67,19.4326,-99.1332
Hub,2026-06-26,7,Latin America,HUB-007 · São Paulo Vector,Online,Mega Hub,Operational,,,119,48,-23.5505,-46.6333
Hub,2026-07-11,8,EMEA,HUB-008 · London Meridian,Online,Mega Hub,Operational,,,127,31,51.5074,-0.1278
Hub,2026-07-16,9,EMEA,HUB-009 · Rotterdam Portline,Watch,Gateway,Operational,,,116,71,51.9244,4.4777
Hub,2026-07-05,10,EMEA,HUB-010 · Frankfurt Core,Online,Regional,Operational,,,96,43,50.1109,8.6821
Hub,2026-07-22,11,EMEA,HUB-011 · Dubai Horizon,Critical,Gateway,Operational,,,109,88,25.2048,55.2708
Hub,2026-07-02,12,EMEA,HUB-012 · Johannesburg Southern,Watch,Regional,Operational,,,74,69,-26.2041,28.0473
Hub,2026-07-09,13,APAC,HUB-013 · Mumbai Pulse,Online,Mega Hub,Operational,,,121,46,19.076,72.8777
Hub,2026-07-13,14,APAC,HUB-014 · Singapore Quantum,Online,Gateway,Operational,,,144,24,1.3521,103.8198
Hub,2026-07-07,15,APAC,HUB-015 · Tokyo Zenith,Online,Mega Hub,Operational,,,139,37,35.6762,139.6503
Hub,2026-07-19,16,APAC,HUB-016 · Sydney Southern Cross,Watch,Regional,Operational,,,86,62,-33.8688,151.2093
Hub,2026-07-23,17,APAC,HUB-017 · Shanghai Hypergate,Critical,Mega Hub,Operational,,,148,81,31.2304,121.4737
Hub,2026-07-01,18,APAC,HUB-018 · Seoul Aurora,Online,Regional,Operational,,,103,35,37.5665,126.978
Monthly,2026-01-01,1,North America,North America,Actual,Revenue,Monthly Close,,,106.2,106.2,,
Monthly,2026-01-01,1,Latin America,Latin America,Actual,Revenue,Monthly Close,,,53.1,52.3,,
Monthly,2026-01-01,1,EMEA,EMEA,Actual,Revenue,Monthly Close,,,92.7,94.9,,
Monthly,2026-01-01,1,APAC,APAC,Actual,Revenue,Monthly Close,,,122.4,123.4,,
Monthly,2026-02-01,2,North America,North America,Actual,Revenue,Monthly Close,,,114.9,114.0,,
Monthly,2026-02-01,2,Latin America,Latin America,Actual,Revenue,Monthly Close,,,52.5,51.2,,
Monthly,2026-02-01,2,EMEA,EMEA,Actual,Revenue,Monthly Close,,,93.0,94.5,,
Monthly,2026-02-01,2,APAC,APAC,Actual,Revenue,Monthly Close,,,123.3,123.3,,
Monthly,2026-03-01,3,North America,North America,Actual,Revenue,Monthly Close,,,118.0,116.1,,
Monthly,2026-03-01,3,Latin America,Latin America,Actual,Revenue,Monthly Close,,,61.3,62.8,,
Monthly,2026-03-01,3,EMEA,EMEA,Actual,Revenue,Monthly Close,,,95.3,96.1,,
Monthly,2026-03-01,3,APAC,APAC,Actual,Revenue,Monthly Close,,,126.8,125.8,,
Monthly,2026-04-01,4,North America,North America,Actual,Revenue,Monthly Close,,,119.9,117.0,,
Monthly,2026-04-01,4,Latin America,Latin America,Actual,Revenue,Monthly Close,,,61.3,62.3,,
Monthly,2026-04-01,4,EMEA,EMEA,Actual,Revenue,Monthly Close,,,104.7,104.7,,
Monthly,2026-04-01,4,APAC,APAC,Actual,Revenue,Monthly Close,,,129.1,127.0,,
Monthly,2026-05-01,5,North America,North America,Actual,Revenue,Monthly Close,,,120.5,123.4,,
Monthly,2026-05-01,5,Latin America,Latin America,Actual,Revenue,Monthly Close,,,60.7,61.2,,
Monthly,2026-05-01,5,EMEA,EMEA,Actual,Revenue,Monthly Close,,,104.9,104.1,,
Monthly,2026-05-01,5,APAC,APAC,Actual,Revenue,Monthly Close,,,138.0,134.7,,
Monthly,2026-06-01,6,North America,North America,Actual,Revenue,Monthly Close,,,130.5,132.6,,
Monthly,2026-06-01,6,Latin America,Latin America,Actual,Revenue,Monthly Close,,,60.7,60.7,,
Monthly,2026-06-01,6,EMEA,EMEA,Actual,Revenue,Monthly Close,,,106.2,104.5,,
Monthly,2026-06-01,6,APAC,APAC,Actual,Revenue,Monthly Close,,,140.3,143.7,,
Monthly,2026-07-01,7,North America,North America,Actual,Revenue,Monthly Close,,,131.1,132.1,,
Monthly,2026-07-01,7,Latin America,Latin America,Actual,Revenue,Monthly Close,,,68.3,67.8,,
Monthly,2026-07-01,7,EMEA,EMEA,Actual,Revenue,Monthly Close,,,106.5,103.9,,
Monthly,2026-07-01,7,APAC,APAC,Actual,Revenue,Monthly Close,,,141.1,143.4,,
Monthly,2026-08-01,8,North America,North America,Actual,Revenue,Monthly Close,,,128.1,128.1,,
Monthly,2026-08-01,8,Latin America,Latin America,Actual,Revenue,Monthly Close,,,65.8,64.7,,
Monthly,2026-08-01,8,EMEA,EMEA,Actual,Revenue,Monthly Close,,,111.8,114.5,,
Monthly,2026-08-01,8,APAC,APAC,Actual,Revenue,Monthly Close,,,138.0,139.1,,
Monthly,2026-09-01,9,North America,North America,Actual,Revenue,Monthly Close,,,130.0,129.0,,
Monthly,2026-09-01,9,Latin America,Latin America,Actual,Revenue,Monthly Close,,,65.9,64.3,,
Monthly,2026-09-01,9,EMEA,EMEA,Actual,Revenue,Monthly Close,,,113.0,114.8,,
Monthly,2026-09-01,9,APAC,APAC,Actual,Revenue,Monthly Close,,,148.3,148.3,,
Monthly,2026-10-01,10,North America,North America,Actual,Revenue,Monthly Close,,,131.8,129.7,,
Monthly,2026-10-01,10,Latin America,Latin America,Actual,Revenue,Monthly Close,,,65.9,67.5,,
Monthly,2026-10-01,10,EMEA,EMEA,Actual,Revenue,Monthly Close,,,114.3,115.2,,
Monthly,2026-10-01,10,APAC,APAC,Actual,Revenue,Monthly Close,,,150.5,149.3,,
Monthly,2026-11-01,11,North America,North America,Actual,Revenue,Monthly Close,,,141.8,138.4,,
Monthly,2026-11-01,11,Latin America,Latin America,Actual,Revenue,Monthly Close,,,65.9,67.0,,
Monthly,2026-11-01,11,EMEA,EMEA,Actual,Revenue,Monthly Close,,,115.6,115.6,,
Monthly,2026-11-01,11,APAC,APAC,Actual,Revenue,Monthly Close,,,152.8,150.4,,
Monthly,2026-12-01,12,North America,North America,Actual,Revenue,Monthly Close,,,146.1,149.6,,
Monthly,2026-12-01,12,Latin America,Latin America,Actual,Revenue,Monthly Close,,,75.3,75.9,,
Monthly,2026-12-01,12,EMEA,EMEA,Actual,Revenue,Monthly Close,,,119.0,118.0,,
Monthly,2026-12-01,12,APAC,APAC,Actual,Revenue,Monthly Close,,,157.7,153.9,,
Flow,,1,,Demand Signals → AI Planning,Flow,Network,Value Chain,Demand Signals,AI Planning,6200,,,
Flow,,2,,AI Planning → Procurement,Flow,Network,Value Chain,AI Planning,Procurement,3600,,,
Flow,,3,,AI Planning → Inventory,Flow,Network,Value Chain,AI Planning,Inventory,2600,,,
Flow,,4,,Procurement → Supplier Network,Flow,Network,Value Chain,Procurement,Supplier Network,3420,,,
Flow,,5,,Supplier Network → Manufacturing,Flow,Network,Value Chain,Supplier Network,Manufacturing,3180,,,
Flow,,6,,Inventory → Regional Hubs,Flow,Network,Value Chain,Inventory,Regional Hubs,2480,,,
Flow,,7,,Manufacturing → Regional Hubs,Flow,Network,Value Chain,Manufacturing,Regional Hubs,3010,,,
Flow,,8,,Regional Hubs → North America,Flow,Network,Value Chain,Regional Hubs,North America,1710,,,
Flow,,9,,Regional Hubs → Latin America,Flow,Network,Value Chain,Regional Hubs,Latin America,740,,,
Flow,,10,,Regional Hubs → EMEA,Flow,Network,Value Chain,Regional Hubs,EMEA,1390,,,
Flow,,11,,Regional Hubs → APAC,Flow,Network,Value Chain,Regional Hubs,APAC,1650,,,
Flow,,12,,North America → Delivered,Flow,Network,Value Chain,North America,Delivered,1605,,,
Flow,,13,,Latin America → Delivered,Flow,Network,Value Chain,Latin America,Delivered,682,,,
Flow,,14,,EMEA → Delivered,Flow,Network,Value Chain,EMEA,Delivered,1308,,,
Flow,,15,,APAC → Delivered,Flow,Network,Value Chain,APAC,Delivered,1552,,,
Flow,,16,,North America → Exception,Flow,Network,Value Chain,North America,Exception,105,,,
Flow,,17,,Latin America → Exception,Flow,Network,Value Chain,Latin America,Exception,58,,,
