recordtype,recordid,timestamp,timeorder,network,site,throughput,latency,packetloss,uptime,temperature,pressure,signal,alertcount,region,latitude,longitude
Summary,SUMMARY,,,,,133,24,8,99.4,67,85,75,6,,,
Reading,READ-001,2026-07-25T00:00:00Z,1,Core,NODE-1,79.9,30,0.29,99.42,73.6,85.8,79.9,3,North,39.49606,-118.99459
Reading,READ-002,2026-07-25T01:30:00Z,2,Edge,NODE-2,88.5,26.3,4.13,99.89,64.9,68.2,73.3,2,East,40.40062,-114.0948
Reading,READ-003,2026-07-25T02:00:00Z,3,Backhaul,NODE-3,107.6,27.5,4.27,98.94,73.1,71.7,64.6,1,South,42.14344,-91.34453
Reading,READ-004,2026-07-25T03:30:00Z,4,Core,NODE-4,100.9,27.1,3.27,99.13,55.5,70.6,83.9,1,West,43.21608,-90.47358
Reading,READ-005,2026-07-25T04:00:00Z,5,Edge,NODE-5,104.6,29.9,3.33,99.35,55.3,77,89.5,3,North,43.70437,-100.3911
Reading,READ-006,2026-07-25T05:30:00Z,6,Backhaul,NODE-6,113.4,28.6,2.95,98.72,66.6,87.1,66.1,2,East,42.89482,-95.96477
Reading,READ-007,2026-07-25T06:00:00Z,7,Core,NODE-7,117.8,22.8,3.57,99.91,70.5,68.8,73.2,0,South,35.93381,-114.78424
Reading,READ-008,2026-07-25T07:30:00Z,8,Edge,NODE-8,111.7,19.7,0.02,99.8,69.3,73.6,89.7,1,West,37.03128,-91.11721
Reading,READ-009,2026-07-25T08:00:00Z,9,Core,NODE-1,97.1,20.1,0.3,99.48,75.1,68.3,81.3,3,North,37.80356,-96.22904
Reading,READ-010,2026-07-25T09:30:00Z,10,Edge,NODE-2,88.4,19.6,2.01,99.16,67.7,86.9,67.2,0,East,43.65726,-101.27836
Reading,READ-011,2026-07-25T10:00:00Z,11,Backhaul,NODE-3,77.8,19.6,2.02,99.41,56.8,86.1,87.2,0,South,39.25041,-116.74465
Reading,READ-012,2026-07-25T11:30:00Z,12,Core,NODE-4,60.3,17,2.43,99.78,69,84.4,88.2,3,West,41.65513,-111.41668
Reading,READ-013,2026-07-25T12:00:00Z,13,Edge,NODE-5,55.7,17.2,1.37,99.21,60,81.3,66.3,0,North,37.51224,-89.99546
Reading,READ-014,2026-07-25T13:30:00Z,14,Backhaul,NODE-6,42.6,15.5,2.4,99.09,60.8,84.2,56.3,1,East,43.83704,-111.96942
Reading,READ-015,2026-07-25T14:00:00Z,15,Core,NODE-7,40.1,14.1,1.86,99.25,54.2,87.9,83.1,0,South,41.83317,-91.22578
Reading,READ-016,2026-07-25T15:30:00Z,16,Edge,NODE-8,48.2,16.8,1.14,99.4,63,77.2,70,2,West,34.72141,-96.49704
Reading,READ-017,2026-07-25T16:00:00Z,17,Core,NODE-1,44.4,15,3.53,99.58,74.4,90.2,77.1,2,North,34.81919,-102.82935
Reading,READ-018,2026-07-25T17:30:00Z,18,Edge,NODE-2,60.1,15.2,0.86,99.44,58.2,84.7,81.2,1,East,37.53795,-104.42552
Reading,READ-019,2026-07-25T18:00:00Z,19,Backhaul,NODE-3,75.8,11.2,0.07,99.51,59,71.6,67.8,2,South,41.22537,-115.08473
Reading,READ-020,2026-07-25T19:30:00Z,20,Core,NODE-4,88.6,14.8,0.35,99.83,54.7,89.4,55.7,0,West,37.49241,-94.65781
Reading,READ-021,2026-07-25T20:00:00Z,21,Edge,NODE-5,89.7,18.8,0.83,98.96,68.1,77.1,65.3,3,North,37.45599,-94.08811
Reading,READ-022,2026-07-25T21:30:00Z,22,Backhaul,NODE-6,105.7,19.9,2.57,99.28,75.8,87.7,67.2,2,East,40.8224,-118.33565
Reading,READ-023,2026-07-25T22:00:00Z,23,Core,NODE-7,105,17.2,2.08,99.43,76,79.6,66.3,3,South,37.55879,-101.41454
Reading,READ-024,2026-07-25T23:30:00Z,24,Edge,NODE-8,103.5,19.3,3.75,98.78,76,81.7,87.9,1,West,41.67538,-111.53308
Reading,READ-025,2026-07-25T00:00:00Z,25,Core,NODE-1,107.6,20.9,3.93,99.8,54.2,68.4,81.3,3,North,43.99465,-92.53893
Reading,READ-026,2026-07-25T01:30:00Z,26,Edge,NODE-2,109.8,25.7,0.54,98.87,73.2,86,90.9,0,East,41.34032,-91.1628
Reading,READ-027,2026-07-25T02:00:00Z,27,Backhaul,NODE-3,93.5,22.3,4.37,99.38,55.5,85.1,73.6,3,South,43.96386,-113.54813
Reading,READ-028,2026-07-25T03:30:00Z,28,Core,NODE-4,93.3,24.7,3.07,98.93,68,90.1,84.7,2,West,36.86393,-89.87669
Reading,READ-029,2026-07-25T04:00:00Z,29,Edge,NODE-5,83.8,28.2,1.36,98.89,58.2,71.1,56.5,3,North,34.57032,-108.1752
Reading,READ-030,2026-07-25T05:30:00Z,30,Backhaul,NODE-6,70.3,30.7,2.53,99.3,72.3,87.5,75.1,1,East,38.58309,-118.24171
Reading,READ-031,2026-07-25T06:00:00Z,31,Core,NODE-7,59.4,28.4,4.23,98.78,62.7,74.2,87.5,3,South,42.60484,-99.68721
